fp3,fp3_time,fp2,fp2_time,fp1,fp1_time,qp,qp_time,race,race_time,
1,0.000,2,0.547,6,1.244,2,122.456,1,0.000,
1,0.000,16,999.999,,,2,131.864,2,6.250,
3,0.556,1,0.000,1,0.000,3,129.247,1,0.000,
1,0.000,1,0.000,5,1.156,1,133.194,2,0.617,
2,0.242,4,0.418,4,1.079,2,119.200,2,3.490,
1,0.000,1,0.000,2,0.196,2,112.221,1,0.000,
1,0.000,3,0.265,2,0.198,2,111.789,4,35.907,
12,1.602,5,0.253,3,0.557,4,141.841,4,5.976,
1,0.000,2,0.147,4,0.449,2,104.293,2,0.658,
1,0.000,2,0.183,6,1.077,1,116.276,7,93.989,
1,0.000,2,0.183,6,1.077,1,116.276,1,0.000,
2,0.197,5,0.482,3,0.145,2,142.795,2,2.358,
2,0.072,11,2.252,2,0.109,1,139.491,3,36.317,
2,0.162,1,0.000,5,2.047,20,999.999,4,37.362,
3,0.324,10,999.999,1,0.000,2,127.791,20,999.999,
2,0.092,3,0.524,2,0.593,2,133.347,2,10.143,
4,0.058,4,0.360,6,0.782,2,108.360,4,70.078,
4,0.547,2,0.149,1,0.000,3,136.777,3,19.330,
