fp3,fp2,fp1,qp,race,
18,15,15,14,20,
18,13,,14,15,
19,17,17,19,20,
18,20,19,18,15,
16,16,16,16,11,
20,19,20,19,20,
19,18,17,19,13,
18,19,20,17,11,
19,20,20,19,15,
19,19,20,18,14,
20,19,18,20,16,
20,18,18,17,16,
6,19,20,11,18,
20,20,19,20,20,
19,20,19,18,
18,9,20,16,20,
17,19,18,13,15,
15,18,12,20,
19,19,18,17,13,
19,18,19,19,17,
3,19,19,17,20,
16,19,17,17,9,
19,17,19,20,16,
19,20,17,18,11,
18,15,14,17,13,
20,20,19,16,11,
19,15,13,18,15,
8,14,15,13,
3,19,19,17,20,
16,19,17,17,9,
19,17,19,20,16,
19,20,17,18,11,
18,15,14,17,13,
